date,entries_scaled,entries
2020-03-01,-2.031352109700006,2316878.0
2020-03-02,0.3590506688228115,5064783.0
2020-03-03,0.520419743308399,5250286.0
2020-03-04,0.5564222979071656,5291673.0
2020-03-05,0.5725702530867366,5310236.0
2020-03-06,0.44048897448466995,5158401.0
2020-03-07,-1.5356743452830823,2886688.0
2020-03-08,-2.2050128723118303,2117245.0
2020-03-09,0.17301383777701854,4850923.0
2020-03-10,0.21793547789300446,4902563.0
2020-03-11,0.09815197671773279,4764865.0
2020-03-12,-0.2493617964235311,4365378.0
2020-03-13,-0.8918282400901003,3626826.0
2020-03-14,-2.481738526467069,1799133.0
2020-03-15,-2.9564142932596655,1253466.0
2020-03-16,-2.0565487655086723,2287913.0
2020-03-17,-2.39303742503975,1901100.0
2020-03-18,-2.5523813721397834,1717925.0
2020-03-19,-2.7376004971106536,1505005.0
2020-03-20,-2.8471644121495463,1379055.0
2020-03-21,-3.4514605102187232,684382.0
2020-03-22,-3.65269101605665,453056.0
2020-03-23,-3.3926282979281686,752013.0
2020-03-24,-3.36227139484669,786910.0
2020-03-25,-3.4028148278615182,740303.0
2020-03-26,-3.412914367786898,728693.0
2020-03-27,-3.4386425325442644,699117.0
2020-03-28,-3.722232568228458,373114.0
2020-03-29,-3.7977651222491966,286285.0
2020-03-30,-3.5509875181379753,569970.0
2020-03-31,-3.5672703078299004,551252.0
2020-04-01,-3.570862125259004,547123.0
2020-04-02,-3.592938449481767,521745.0
2020-04-03,-3.5955742467232747,518715.0
2020-04-04,-3.77507812817048,312365.0
2020-04-05,-3.8310683769006375,248001.0
2020-04-06,-3.6401748937098493,467444.0
2020-04-07,-3.6414397284257407,465990.0
2020-04-08,-3.6474124623729978,459124.0
2020-04-09,-3.6667486013446893,436896.0
2020-04-10,-3.670960657530623,432054.0
2020-04-11,-3.8006323129119055,282989.0
2020-04-12,-3.8555282273417935,219883.0
2020-04-13,-3.714098132583133,382465.0
2020-04-14,-3.6466852259063645,459960.0
2020-04-15,-3.654041100980353,451504.0
2020-04-16,-3.6522569359168773,453555.0
2020-04-17,-3.6404071570311305,467177.0
2020-04-18,-3.7986393718293003,285280.0
2020-04-19,-3.8322044664047326,246695.0
2020-04-20,-3.6437406141365614,463345.0
2020-04-21,-3.6489460962135185,457361.0
2020-04-22,-3.617570540138705,493429.0
2020-04-23,-3.6241417653407995,485875.0
2020-04-24,-3.6329695113496494,475727.0
2020-04-25,-3.7641600122700978,324916.0
2020-04-26,-3.835270864185694,243170.0
2020-04-27,-3.623765098606287,486308.0
2020-04-28,-3.593103730496911,521555.0
2020-04-29,-3.59924870465995,514491.0
2020-04-30,-3.6097805849249434,502384.0
2020-05-01,-3.5867960850189675,528806.0
2020-05-02,-3.7331524239289995,360561.0
2020-05-03,-3.7980930745792456,285908.0
2020-05-04,-3.571508461018225,546380.0
2020-05-05,-3.5621770428632256,557107.0
2020-05-06,-3.570261894204007,547813.0
2020-05-07,-3.551699966303254,569151.0
2020-05-08,-3.555068219411873,565279.0
2020-05-09,-3.7451248587259847,346798.0
2020-05-10,-3.7911034274388125,293943.0
2020-05-11,-3.5678731485851363,550559.0
2020-05-12,-3.535732080440182,587507.0
2020-05-13,-3.522336489112799,602906.0
2020-05-14,-3.5198964193892253,605711.0
2020-05-15,-3.504280843058434,623662.0
2020-05-16,-3.703107814976135,395099.0
2020-05-17,-3.77274679595687,315045.0
2020-05-18,-3.5033961546773735,624679.0
2020-05-19,-3.4817286834920718,649587.0
2020-05-20,-3.471937088194908,660843.0
2020-05-21,-3.4659025913419916,667780.0
2020-05-22,-3.4611042225023367,673296.0
2020-05-23,-3.726439405013913,368278.0
2020-05-24,-3.7511436973774663,339879.0
2020-05-25,-3.6845493666757005,416433.0
2020-05-26,-3.44898912409228,687223.0
2020-05-27,-3.425134724106599,714645.0
2020-05-28,-3.4401291917804806,697408.0
2020-05-29,-3.44739459724618,689056.0
2020-05-30,-3.647205426154028,459362.0
2020-05-31,-3.7247135232557778,370262.0
2020-06-01,-3.4185748076055407,722186.0
2020-06-02,-3.394657774814121,749680.0
2020-06-03,-3.42409954301175,715835.0
2020-06-04,-3.3801948160889395,766306.0
2020-06-05,-3.401180285611752,742182.0
2020-06-06,-3.623835560512743,486227.0
2020-06-07,-3.704507484204381,393490.0
2020-06-08,-3.3227883700290217,832298.0
2020-06-09,-3.2820935744003243,879079.0
2020-06-10,-3.2670895378255658,896327.0
2020-06-11,-3.298239789779736,860518.0
2020-06-12,-3.239237077073559,928345.0
2020-06-13,-3.547646231931827,573811.0
2020-06-14,-3.6473950643714037,459144.0
2020-06-15,-3.239033520454908,928579.0
2020-06-16,-3.2044410738853437,968345.0
2020-06-17,-3.184849184290219,990867.0
2020-06-18,-3.1958725581002456,978195.0
2020-06-19,-3.166960559051158,1011431.0
2020-06-20,-3.513499174203072,613065.0
2020-06-21,-3.6362612132512546,471943.0
2020-06-22,-3.1514389319289746,1029274.0
2020-06-23,-3.1040580842876615,1083741.0
2020-06-24,-3.085242145563634,1105371.0
2020-06-25,-3.074356215966201,1117885.0
2020-06-26,-3.062730871301018,1131249.0
2020-06-27,-3.474776442055066,657579.0
2020-06-28,-3.559040183175808,560713.0
2020-06-29,-3.066236568622231,1127219.0
2020-06-30,-3.042455240243245,1154557.0
