,starttime_day,usertype,tripduration,tripdistance
0,2015-01-01,5317,801.8066578897875,0.8804462740172578
1,2015-01-02,11304,731.2409766454352,0.9293255529979211
2,2015-01-03,4478,655.2842786958464,0.8606866529804753
3,2015-01-04,7849,679.5542107274812,0.8961659017785562
4,2015-01-05,14506,637.8118020129601,0.9380648330649534
5,2015-01-06,8739,634.9224167524889,0.919468513448024
6,2015-01-07,9646,589.210968277006,0.8659304146979246
7,2015-01-08,8779,595.8609181000114,0.8543072451412052
8,2015-01-09,7930,636.6578814627995,0.8797062025578999
9,2015-01-10,6109,596.0256997871992,0.8108845643611766
10,2015-01-11,7467,623.0724521226731,0.8502286543580179
11,2015-01-12,8645,623.6876807403123,0.9279069835021722
12,2015-01-13,12797,618.487614284598,0.9111473662915777
13,2015-01-14,13086,623.0284273269143,0.9114680467809098
14,2015-01-15,14075,633.4006394316164,0.9335145498705264
15,2015-01-16,13843,625.3708011269233,0.9129137817899774
16,2015-01-17,7491,657.2456280870377,0.8428551138579062
17,2015-01-18,1795,723.4740947075209,0.8037166340715642
18,2015-01-19,10710,691.7267040149393,0.9044125998158279
19,2015-01-20,16129,647.8671957343914,0.9528893780863589
20,2015-01-21,15234,626.8491532099251,0.9388274930504178
21,2015-01-22,15864,640.5434947049924,0.9461761365271953
22,2015-01-23,15737,639.5605261485671,0.9388416503851538
23,2015-01-24,4814,630.3034898213543,0.8511556627030717
24,2015-01-25,9379,721.2704979208871,0.9136086774294127
25,2015-01-26,4141,665.1142236174837,0.9077870379580127
26,2015-01-27,1214,956.2710049423393,0.9032945149746102
27,2015-01-28,5401,850.4571375671172,0.9170359092616568
28,2015-01-29,8870,751.9078917700112,0.9200407883508143
29,2015-01-30,9015,651.4740987243483,0.8900986301553175
30,2015-01-31,5188,626.7819969159599,0.8149830529502071
0,2015-02-01,6441,638.1492004347151,0.8599780366032319
1,2015-02-02,1459,920.8622344071282,0.8099296575450096
2,2015-02-03,4754,767.224442574674,0.8581367774407522
3,2015-02-04,8973,697.5565585645826,0.933560843628539
4,2015-02-05,9208,623.3967202432667,0.9008493698099357
5,2015-02-06,8575,637.1169679300292,0.8875363375280553
6,2015-02-07,6790,686.4608247422681,0.8640168497392406
7,2015-02-08,6662,666.9377063944761,0.878651745756971
8,2015-02-09,5160,633.9317829457365,0.8769961897254981
9,2015-02-10,10328,638.254647560031,0.9199509530740638
10,2015-02-11,11439,649.0203689133665,0.9239213814973654
11,2015-02-12,11269,647.8381400301713,0.9147411884911132
12,2015-02-13,7642,623.0509029049987,0.8439666768539037
13,2015-02-14,4614,625.8467706978761,0.808605030067824
14,2015-02-15,2581,569.8585819449826,0.7761740358963996
15,2015-02-16,3998,595.8106553276639,0.8015256187492124
16,2015-02-17,4784,649.25,0.8790123187442502
17,2015-02-18,9170,647.9724100327154,0.9190764968315475
18,2015-02-19,7799,595.5349403769715,0.862209604154192
19,2015-02-20,6159,602.8048384478,0.8344946504913678
20,2015-02-21,3157,590.9299968324359,0.7974090657274158
21,2015-02-22,4274,717.0456247075339,0.8914068993053101
22,2015-02-23,7458,631.9479753285063,0.8923341362533116
23,2015-02-24,7402,644.8715212104837,0.8791226156296161
24,2015-02-25,10751,651.4522370012091,0.9227806128945575
25,2015-02-26,9901,675.5079284920715,0.9072062071841139
26,2015-02-27,9864,659.8214720194647,0.9115918556513505
27,2015-02-28,6318,649.4412788857234,0.8536310431930453
0,2015-03-01,2879,740.4637026745397,0.8249802420887764
1,2015-03-02,7283,677.5293148427845,0.9150306633870959
2,2015-03-03,6533,762.0384203275677,0.9078445351895041
3,2015-03-04,7514,700.4226776683524,0.9140199231721889
4,2015-03-05,1637,925.8546120952963,0.8883969689885565
5,2015-03-06,5162,736.6666020922123,0.8848993969421781
6,2015-03-07,5590,887.6742397137746,0.885152734718756
7,2015-03-08,7898,821.542795644467,0.9640777743275034
8,2015-03-09,14878,758.6225299099341,1.0114455214690221
9,2015-03-10,11781,723.4008997538409,0.9749167550948121
10,2015-03-11,19561,803.8450488216349,1.0549277849351704
11,2015-03-12,17530,729.1390758699373,1.0058907173360734
12,2015-03-13,16145,723.6237225147104,0.9774584783223538
13,2015-03-14,3906,728.8492063492064,0.8558127059402274
14,2015-03-15,8838,725.7988232631817,0.915185003610242
15,2015-03-16,16787,713.4356942872461,1.0237976621354272
16,2015-03-17,14857,706.7130645486976,0.9608892013206464
17,2015-03-18,13842,680.003323219188,0.952511288396477
18,2015-03-19,15446,769.2943804221158,0.9595243348092103
19,2015-03-20,8052,665.689393939394,0.9396397848111212
20,2015-03-21,9338,815.9306061255087,0.934472629685128
21,2015-03-22,9676,748.5712071103762,0.9573112685181603
22,2015-03-23,13538,649.366671591077,0.9553268143085016
23,2015-03-24,16166,679.5765186193245,0.9810801929519951
24,2015-03-25,14670,700.8597818677573,0.9759442007381018
25,2015-03-26,14954,710.599037046944,1.0113607284847304
26,2015-03-27,14107,694.6461331253987,0.9612275996409642
27,2015-03-28,1107,760.4697380307136,0.8576411579241731
28,2015-03-29,9826,850.9773051088948,0.961318650440951
29,2015-03-30,18075,726.8038174273859,0.9959476878651533
30,2015-03-31,14250,761.6802105263158,0.984846483831353
0,2015-04-01,20146,792.9338330189615,1.0171846369079993
1,2015-04-02,24227,1246.030503157634,1.050041332026008
2,2015-04-03,14774,821.9384053066198,0.9997001711761808
3,2015-04-04,14355,901.8744688261929,0.9829087113570409
4,2015-04-05,13799,1086.3827088919486,1.018576138242921
5,2015-04-06,23391,905.6003163609936,1.0702321338032141
