pickup_datetime,Unnamed: 0,passenger_count,tripduration,tripdistance,scaled_count
2020-03-01,0,31878,864.1210552732292,0.9806775575933367,-0.5498108557114773
2020-03-02,1,56946,982.5365433919853,1.1231997501457514,0.6761378173780686
2020-03-03,2,49723,851.5264766808118,1.1200336369448327,0.32289754030268203
2020-03-04,3,58670,851.5432929947162,1.1225586027692132,0.7604499089851524
2020-03-05,4,58686,843.8989878335549,1.1160193963948049,0.7612323877935708
2020-03-06,5,34135,759.5390654753186,1.0483465465340491,-0.43943243879895516
2020-03-07,6,39448,958.286934698844,1.05751292239887,-0.17960056947851646
2020-03-08,7,46994,1096.0663701749158,1.1537143344721978,0.18943599854181675
2020-03-09,8,68768,1208.189128664495,1.2653019385680853,1.2542918469482223
2020-03-10,9,64277,943.7808236227577,1.2446197095087908,1.0346598264102793
2020-03-11,10,61816,995.3441342047366,1.2451180251137832,0.9143048046904225
2020-03-12,11,51332,1004.5460921062883,1.2339991950465,0.4015855654742585
2020-03-13,12,43343,1461.8177329672615,1.1992269668804099,0.010884115445840538
2020-03-14,13,44239,1366.1812653993084,1.2641899240101249,0.054702928717271566
2020-03-15,14,36140,1456.878361925844,1.2564947342702526,-0.34137806311902297
2020-03-16,15,29481,1088.33811607476,1.221542632898559,-0.6670359621976605
2020-03-17,16,24331,1413.3176605975916,1.2219991819216842,-0.9188963286573366
2020-03-18,17,30496,1409.9339913431272,1.277216055097664,-0.6173974627886175
2020-03-19,18,20842,1381.9743786584781,1.2094760248597818,-1.0895256138180764
2020-03-20,19,31327,1719.9533948351266,1.2623292846925749,-0.5767574696763863
2020-03-21,20,31712,1643.4146379919273,1.3676039436088332,-0.5579290733488182
2020-03-22,21,19891,1430.0747574279824,1.2876688635748634,-1.1360341979934458
2020-03-23,22,3999,1016.805201300325,1.096676097304251,-1.9132312744550328
2020-03-24,23,20863,1423.4540574222308,1.231393198729435,-1.0884986103820273
2020-03-25,24,12066,1233.0682081882974,1.1489731952778262,-1.518715240235575
2020-03-26,25,21996,1584.6684397163122,1.2412315142426231,-1.0330893297608985
2020-03-27,26,26504,1684.5492378508904,1.2822836514453528,-0.8126259254890111
2020-03-28,27,8871,1506.8262879044073,1.1286483547491493,-1.6749664772916264
2020-03-29,28,9646,1496.2202985693552,1.1737527587070298,-1.6370651600088597
2020-03-30,29,15041,1196.6950335748954,1.197536438298728,-1.3732230867952766
2020-03-31,30,14996,1319.4728594291812,1.1924107186425108,-1.3754238084439534
2020-04-01,0,20363,1521.8885233020676,1.2496582731963222,-1.1129510731451027
2020-04-02,1,19012,1902.022880286135,1.2459435720492769,-1.1790216275309322
2020-04-03,2,11309,1240.3192147846848,1.1645571037848326,-1.5557362688588712
2020-04-04,3,28867,1948.5496587799216,1.4203213160716783,-0.6970635864707171
2020-04-05,4,25755,1981.3920015530966,1.3837583719907165,-0.849255714708098
2020-04-06,5,24660,1943.18195458232,1.3168606693146525,-0.9028066081592331
2020-04-07,6,23646,1592.7815698215345,1.2574183813078452,-0.9523962026427498
2020-04-08,7,20744,1654.1075973775548,1.2388466593526943,-1.0943182965196392
2020-04-09,8,14192,1548.0004227733937,1.1668307303526522,-1.4147433685669786
2020-04-10,9,16276,1247.544544114033,1.184419141019837,-1.3128255037704806
2020-04-11,10,33142,1726.0334318991006,1.4337982021612388,-0.4879950298464228
2020-04-12,11,31564,1865.1896464326446,1.3679323579816338,-0.5651670023266886
