pickup_datetime,Unnamed: 0,passenger_count,tripduration,tripdistance,scaled_count
2015-01-01,0,5317,801.8066578897874,0.8804462740172578,-1.848774582611566
2015-01-02,1,11304,731.2409766454351,0.9293255529979212,-1.5559807934865018
2015-01-03,2,4478,655.2842786958464,0.8606866529804753,-1.8898058151280066
2015-01-04,3,7849,679.5542107274812,0.8961659017785562,-1.7249473111793525
2015-01-05,4,14506,637.8118020129601,0.9380648330649534,-1.3993872219517673
2015-01-06,5,8739,634.9224167524889,0.919468513448024,-1.6814219274610784
2015-01-07,6,9646,589.210968277006,0.8659304146979246,-1.6370651600088597
2015-01-08,7,8779,595.8609181000114,0.8543072451412052,-1.6794657304400324
2015-01-09,8,7930,636.6578814627995,0.8797062025578999,-1.7209860122117344
2015-01-10,9,6109,596.0256997871993,0.8108845643611766,-1.8100418815948547
2015-01-11,10,7467,623.0724521226731,0.8502286543580179,-1.743628992730342
2015-01-12,11,8645,623.6876807403123,0.9279069835021722,-1.6860189904605365
2015-01-13,12,12797,618.487614284598,0.9111473662915776,-1.4829657396759588
2015-01-14,13,13086,623.0284273269142,0.9114680467809098,-1.4688322161989014
2015-01-15,14,14075,633.4006394316164,0.9335145498705264,-1.4204652448535382
2015-01-16,15,13843,625.3708011269232,0.9129137817899774,-1.4318111875756052
2015-01-17,16,7491,657.2456280870377,0.8428551138579062,-1.7424552745177144
2015-01-18,17,1795,723.4740947075209,0.8037166340715642,-2.021017730314669
2015-01-19,18,10710,691.7267040149393,0.904412599815828,-1.5850303192490354
2015-01-20,19,16129,647.8671957343914,0.9528893780863588,-1.3200145278228248
2015-01-21,20,15234,626.8491532099251,0.9388274930504178,-1.3637844361687295
2015-01-22,21,15864,640.5434947049923,0.9461761365271952,-1.3329743330872545
2015-01-23,22,15737,639.5605261485671,0.9388416503851538,-1.3391852586290758
2015-01-24,23,4814,630.3034898213542,0.8511556627030717,-1.87337376015122
2015-01-25,24,9379,721.2704979208871,0.9136086774294128,-1.650122775124342
2015-01-26,25,4141,665.1142236174837,0.9077870379580129,-1.9062867750303194
2015-01-27,26,1214,956.2710049423393,0.9032945149746102,-2.0494314920453625
2015-01-28,27,5401,850.4571375671173,0.9170359092616568,-1.8446665688673693
2015-01-29,28,8870,751.9078917700112,0.9200407883508144,-1.6750153822171527
2015-01-30,29,9015,651.4740987243482,0.8900986301553175,-1.6679241680158607
2015-01-31,30,5188,626.7819969159599,0.8149830529502071,-1.8550833180044395
2015-02-01,0,6441,638.1492004347151,0.8599780366032319,-1.7938054463201727
2015-02-02,1,1459,920.8622344071283,0.8099296575450096,-2.0374497852914555
2015-02-03,2,4754,767.2244425746741,0.8581367774407522,-1.876308055682789
2015-02-04,3,8973,697.5565585645827,0.933560843628539,-1.6699781748879592
2015-02-05,4,9208,623.3967202432667,0.9008493698099356,-1.6584855173893136
2015-02-06,5,8575,637.1169679300292,0.8875363375280553,-1.689442335247367
2015-02-07,6,6790,686.4608247422682,0.8640168497392406,-1.776737627311546
2015-02-08,7,6662,666.9377063944761,0.8786517457569709,-1.7829974577788934
2015-02-09,8,5160,633.9317829457365,0.8769961897254981,-1.8564526559191719
2015-02-10,9,10328,638.254647560031,0.9199509530740638,-1.603712000800025
2015-02-11,10,11439,649.0203689133665,0.9239213814973654,-1.5493786285404716
2015-02-12,11,11269,647.8381400301713,0.9147411884911132,-1.5576924658799172
2015-02-13,12,7642,623.0509029049988,0.8439666768539037,-1.7350706307632657
2015-02-14,13,4614,625.8467706978761,0.8086050300678241,-1.88315474525645
2015-02-15,14,2581,569.8585819449826,0.7761740358963996,-1.9825784588511144
2015-02-16,15,3998,595.8106553276639,0.8015256187492124,-1.913280179380559
2015-02-17,16,4784,649.25,0.8790123187442502,-1.8748409079170045
2015-02-18,17,9170,647.9724100327154,0.9190764968315476,-1.6603439045593074
2015-02-19,18,7799,595.5349403769715,0.862209604154192,-1.7273925574556601
2015-02-20,19,6159,602.8048384478,0.8344946504913678,-1.8075966353185473
2015-02-21,20,3157,590.9299968324359,0.7974090657274158,-1.9544092217480515
2015-02-22,21,4274,717.0456247075339,0.8914068993053101,-1.8997824199353412
2015-02-23,22,7458,631.9479753285062,0.8923341362533116,-1.7440691370600774
2015-02-24,23,7402,644.8715212104838,0.8791226156296161,-1.746807812889542
2015-02-25,24,10751,651.4522370012091,0.9227806128945576,-1.5830252173024633
2015-02-26,25,9901,675.5079284920715,0.907206207184114,-1.6245944039996913
2015-02-27,26,9864,659.8214720194647,0.9115918556513504,-1.6264038862441588
2015-02-28,27,6318,649.4412788857234,0.8536310431930453,-1.7998207521598892
2015-03-01,0,2879,740.4637026745398,0.8249802420887764,-1.9680047910443215
2015-03-02,1,7283,677.5293148427845,0.915030663387096,-1.7526274990271538
2015-03-03,2,6533,762.0384203275678,0.907844535189504,-1.7893061931717669
2015-03-04,3,7514,700.4226776683523,0.9140199231721888,-1.741330461230613
2015-03-05,4,1637,925.8546120952964,0.8883969689885565,-2.0287447085478005
2015-03-06,5,5162,736.6666020922122,0.8848993969421781,-1.8563548460681194
2015-03-07,6,5590,887.6742397137746,0.8851527347187559,-1.835423537942927
2015-03-08,7,7898,821.542795644467,0.9640777743275034,-1.722550969828571
2015-03-09,8,14878,758.6225299099341,1.011445521469022,-1.3811945896560391
2015-03-10,9,11781,723.4008997538409,0.974916755094812,-1.532653144010528
2015-03-11,10,19561,803.8450488216348,1.0549277849351704,-1.1521728234170754
2015-03-12,11,17530,729.1390758699373,1.0058907173360734,-1.2514987271606877
