pickup_datetime,Borough,passenger_count,trip_distance
5/19/2015,UNKNOWN,141911,0
5/20/2015,UNKNOWN,148606,0
5/21/2015,UNKNOWN,153246,0
5/22/2015,UNKNOWN,139276,0
5/23/2015,UNKNOWN,119859,0
5/24/2015,UNKNOWN,107080,0
5/25/2015,UNKNOWN,93976,0
5/26/2015,UNKNOWN,125612,0
5/27/2015,UNKNOWN,144681,0
5/28/2015,UNKNOWN,151593,0
5/29/2015,UNKNOWN,153571,0
5/30/2015,UNKNOWN,148039,0
5/31/2015,UNKNOWN,138837,0
6/1/2015,UNKNOWN,147408,0
6/2/2015,UNKNOWN,152452,0
6/3/2015,UNKNOWN,140627,0
6/4/2015,UNKNOWN,148807,0
6/5/2015,UNKNOWN,153313,0
6/6/2015,UNKNOWN,140768,0
6/7/2015,UNKNOWN,126055,0
6/8/2015,UNKNOWN,127797,0
6/9/2015,UNKNOWN,134255,0
6/10/2015,UNKNOWN,139335,0
6/11/2015,UNKNOWN,155609,0
6/12/2015,UNKNOWN,153964,0
6/13/2015,UNKNOWN,140247,0
6/14/2015,UNKNOWN,127899,0
6/15/2015,UNKNOWN,137361,0
6/16/2015,UNKNOWN,141176,0
6/17/2015,UNKNOWN,146297,0
6/18/2015,UNKNOWN,153221,0
6/19/2015,UNKNOWN,153364,0
6/20/2015,UNKNOWN,140349,0
6/21/2015,UNKNOWN,125314,0
6/22/2015,UNKNOWN,125045,0
6/23/2015,UNKNOWN,146998,0
6/24/2015,UNKNOWN,144552,0
6/25/2015,UNKNOWN,153185,0
6/26/2015,UNKNOWN,149333,0
6/27/2015,UNKNOWN,176872,0
6/28/2015,UNKNOWN,127443,0
6/29/2015,UNKNOWN,119930,0
6/30/2015,UNKNOWN,124907,0
7/1/2015,UNKNOWN,135175,0
7/2/2015,UNKNOWN,128796,0
7/3/2015,UNKNOWN,101997,0
7/4/2015,UNKNOWN,95843,0
7/5/2015,UNKNOWN,100182,0
7/6/2015,UNKNOWN,108162,0
7/7/2015,UNKNOWN,127994,0
7/8/2015,UNKNOWN,136981,0
7/9/2015,UNKNOWN,154918,0
7/10/2015,UNKNOWN,145996,0
7/11/2015,UNKNOWN,147156,0
7/12/2015,UNKNOWN,132941,0
7/13/2015,UNKNOWN,123601,0
7/14/2015,UNKNOWN,142513,0
7/15/2015,UNKNOWN,156273,0
7/16/2015,UNKNOWN,155878,0
7/17/2015,UNKNOWN,152500,0
7/18/2015,UNKNOWN,158876,0
7/19/2015,UNKNOWN,145235,0
7/20/2015,UNKNOWN,142847,0
7/21/2015,UNKNOWN,147303,0
7/22/2015,UNKNOWN,153096,0
7/23/2015,UNKNOWN,160358,0
7/24/2015,UNKNOWN,158918,0
7/25/2015,UNKNOWN,151854,0
7/26/2015,UNKNOWN,135990,0
7/27/2015,UNKNOWN,132925,0
7/28/2015,UNKNOWN,151135,0
7/29/2015,UNKNOWN,162120,0
7/30/2015,UNKNOWN,179356,0
7/31/2015,UNKNOWN,167544,0
8/1/2015,UNKNOWN,180821,0
8/2/2015,UNKNOWN,159842,0
8/3/2015,UNKNOWN,155957,0
8/4/2015,UNKNOWN,170748,0
8/5/2015,UNKNOWN,174992,0
8/6/2015,UNKNOWN,181017,0
8/7/2015,UNKNOWN,183548,0
8/8/2015,UNKNOWN,162893,0
8/9/2015,UNKNOWN,148847,0
8/10/2015,UNKNOWN,146879,0
8/11/2015,UNKNOWN,175943,0
8/12/2015,UNKNOWN,169574,0
8/13/2015,UNKNOWN,177220,0
8/14/2015,UNKNOWN,181908,0
8/15/2015,UNKNOWN,176754,0
8/16/2015,UNKNOWN,160055,0
8/17/2015,UNKNOWN,157832,0
8/18/2015,UNKNOWN,169931,0
8/19/2015,UNKNOWN,177438,0
8/20/2015,UNKNOWN,187111,0
8/21/2015,UNKNOWN,189072,0
8/22/2015,UNKNOWN,180732,0
8/23/2015,UNKNOWN,160462,0
8/24/2015,UNKNOWN,153490,0
8/25/2015,UNKNOWN,161936,0
8/26/2015,UNKNOWN,167877,0
8/27/2015,UNKNOWN,176699,0
8/28/2015,UNKNOWN,183480,0
8/29/2015,UNKNOWN,180359,0
8/30/2015,UNKNOWN,168956,0
8/31/2015,UNKNOWN,160708,0
9/1/2015,UNKNOWN,195918,0
9/2/2015,UNKNOWN,204324,0
9/3/2015,UNKNOWN,216933,0
9/4/2015,UNKNOWN,223478,0
9/5/2015,UNKNOWN,209028,0
9/6/2015,UNKNOWN,195180,0
9/7/2015,UNKNOWN,169494,0
9/8/2015,UNKNOWN,215946,0
9/9/2015,UNKNOWN,237928,0
9/10/2015,UNKNOWN,283250,0
9/11/2015,UNKNOWN,257625,0
9/12/2015,UNKNOWN,268095,0
9/13/2015,UNKNOWN,226351,0
9/14/2015,UNKNOWN,191246,0
9/15/2015,UNKNOWN,206879,0
9/16/2015,UNKNOWN,235052,0
9/17/2015,UNKNOWN,245776,0
9/18/2015,UNKNOWN,259636,0
9/19/2015,UNKNOWN,261851,0
9/20/2015,UNKNOWN,225865,0
9/21/2015,UNKNOWN,202022,0
9/22/2015,UNKNOWN,197743,0
9/23/2015,UNKNOWN,187929,0
9/24/2015,UNKNOWN,204134,0
9/25/2015,UNKNOWN,227387,0
9/26/2015,UNKNOWN,257527,0
9/27/2015,UNKNOWN,221422,0
9/28/2015,UNKNOWN,192274,0
9/29/2015,UNKNOWN,210835,0
9/30/2015,UNKNOWN,223298,0
10/1/2015,UNKNOWN,294140,0
10/2/2015,UNKNOWN,357535,0
10/3/2015,UNKNOWN,293877,0
10/4/2015,UNKNOWN,245966,0
10/5/2015,UNKNOWN,225829,0
10/6/2015,UNKNOWN,238086,0
10/7/2015,UNKNOWN,259987,0
10/8/2015,UNKNOWN,280463,0
10/9/2015,UNKNOWN,307035,0
10/10/2015,UNKNOWN,289144,0
10/11/2015,UNKNOWN,256951,0
10/12/2015,UNKNOWN,213584,0
10/13/2015,UNKNOWN,249101,0
10/14/2015,UNKNOWN,259475,0
10/15/2015,UNKNOWN,282461,0
10/16/2015,UNKNOWN,308159,0
10/17/2015,UNKNOWN,311542,0
10/18/2015,UNKNOWN,276510,0
10/19/2015,UNKNOWN,253209,0
10/20/2015,UNKNOWN,251600,0
10/21/2015,UNKNOWN,262690,0
10/22/2015,UNKNOWN,284296,0
10/23/2015,UNKNOWN,309659,0
10/24/2015,UNKNOWN,310935,0
10/25/2015,UNKNOWN,268018,0
10/26/2015,UNKNOWN,246259,0
10/27/2015,UNKNOWN,257450,0
10/28/2015,UNKNOWN,321912,0
10/29/2015,UNKNOWN,293479,0
10/30/2015,UNKNOWN,326825,0
10/31/2015,UNKNOWN,336360,0
11/1/2015,UNKNOWN,300325,0
11/2/2015,UNKNOWN,246175,0
11/3/2015,UNKNOWN,248887,0
11/4/2015,UNKNOWN,268612,0
11/5/2015,UNKNOWN,295897,0
11/6/2015,UNKNOWN,307953,0
11/7/2015,UNKNOWN,311916,0
11/8/2015,UNKNOWN,273249,0
11/9/2015,UNKNOWN,251183,0
11/10/2015,UNKNOWN,302562,0
11/11/2015,UNKNOWN,261488,0
11/12/2015,UNKNOWN,298435,0
11/13/2015,UNKNOWN,323009,0
11/14/2015,UNKNOWN,333435,0
11/15/2015,UNKNOWN,280148,0
11/16/2015,UNKNOWN,249536,0
11/17/2015,UNKNOWN,270888,0
11/18/2015,UNKNOWN,280993,0
11/19/2015,UNKNOWN,352155,0
11/20/2015,UNKNOWN,325303,0
11/21/2015,UNKNOWN,325890,0
11/22/2015,UNKNOWN,277249,0
11/23/2015,UNKNOWN,273564,0
11/24/2015,UNKNOWN,283114,0
11/25/2015,UNKNOWN,280873,0
11/26/2015,UNKNOWN,236551,0
11/27/2015,UNKNOWN,212675,0
11/28/2015,UNKNOWN,246700,0
11/29/2015,UNKNOWN,239005,0
11/30/2015,UNKNOWN,258742,0
12/1/2015,UNKNOWN,300491,0
12/2/2015,UNKNOWN,295322,0
12/3/2015,UNKNOWN,306438,0
12/4/2015,UNKNOWN,329186,0
12/5/2015,UNKNOWN,323020,0
12/6/2015,UNKNOWN,279285,0
12/7/2015,UNKNOWN,271110,0
12/8/2015,UNKNOWN,287326,0
12/9/2015,UNKNOWN,295253,0
12/10/2015,UNKNOWN,312810,0
12/11/2015,UNKNOWN,335868,0
12/12/2015,UNKNOWN,335418,0
12/13/2015,UNKNOWN,280377,0
12/14/2015,UNKNOWN,284541,0
12/15/2015,UNKNOWN,286903,0
12/16/2015,UNKNOWN,311749,0
12/17/2015,UNKNOWN,365010,0
12/18/2015,UNKNOWN,362323,0
12/19/2015,UNKNOWN,354108,0
12/20/2015,UNKNOWN,292126,0
12/21/2015,UNKNOWN,262636,0
12/22/2015,UNKNOWN,274540,0
12/23/2015,UNKNOWN,290944,0
12/24/2015,UNKNOWN,240893,0
12/25/2015,UNKNOWN,200428,0
12/26/2015,UNKNOWN,193476,0
12/27/2015,UNKNOWN,210632,0
12/28/2015,UNKNOWN,220676,0
12/29/2015,UNKNOWN,227555,0
12/30/2015,UNKNOWN,238784,0
12/31/2015,UNKNOWN,255762,0
1/1/2016,UNKNOWN,286750,0
1/2/2016,UNKNOWN,241760,0
1/3/2016,UNKNOWN,231116,0
1/4/2016,UNKNOWN,259891,0
1/5/2016,UNKNOWN,278457,0
1/6/2016,UNKNOWN,267690,0
1/7/2016,UNKNOWN,272341,0
1/8/2016,UNKNOWN,298670,0
1/9/2016,UNKNOWN,291508,0
1/10/2016,UNKNOWN,277687,0
1/11/2016,UNKNOWN,269529,0
1/12/2016,UNKNOWN,274021,0
1/13/2016,UNKNOWN,304574,0
1/14/2016,UNKNOWN,308592,0
1/15/2016,UNKNOWN,318552,0
1/16/2016,UNKNOWN,308690,0
1/17/2016,UNKNOWN,296477,0
1/18/2016,UNKNOWN,256219,0
1/19/2016,UNKNOWN,317835,0
1/20/2016,UNKNOWN,300062,0
1/21/2016,UNKNOWN,319814,0
