pickup_datetime,passenger_count,trip_distance
2015-06-17,770904,5.75121927
2015-06-18,777505,5.8303938660000005
2015-06-19,815541,5.905477397
2015-06-20,813657,5.880742831
2015-06-21,723544,7.158189229
2015-06-22,683742,6.0205973329999996
2015-06-23,735288,5.580882315
2015-06-24,748184,5.805083754
2015-06-25,767741,5.84178829
2015-06-26,796448,5.903242498999999
2015-06-27,888368,5.761367254
2015-06-28,682114,6.3831866
2015-06-29,655773,6.0198414929999995
2015-06-30,679053,5.739723087
2015-07-01,713032,9.223455109
2015-07-02,682269,5.848389268
2015-07-03,602876,16.952436851999998
2015-07-04,533264,6.179765036000001
2015-07-05,557192,6.689583403
2015-07-06,581543,31.455404508000004
2015-07-07,669442,5.700754203000001
2015-07-08,717276,5.621693203
2015-07-09,744089,13.502095636000002
2015-07-10,750692,5.868398462
2015-07-11,811336,5.956920523999999
2015-07-12,715358,25.100942527
2015-07-13,636736,7.957496717
2015-07-14,698719,5.686206778
2015-07-15,731513,5.775987722
2015-07-16,728266,5.971828822
2015-07-17,673478,6.110849630000001
2015-07-18,796733,6.409528791
2015-07-19,776790,20.004769525
2015-07-20,690003,5.923945493
2015-07-21,682947,5.809934575
2015-07-22,713895,6.256357595
2015-07-23,739182,5.9608584350000005
2015-07-24,757262,6.34375171
2015-07-25,777697,26.988837365000002
2015-07-26,690636,6.469697625
2015-07-27,635679,6.021021704000001
2015-07-28,703845,5.719915946
2015-07-29,740249,5.735295729
2015-07-30,721405,5.783705168999999
2015-07-31,754762,36.677699347
2015-08-01,782723,6.1233206
2015-08-02,692785,7.349194914
2015-08-03,641757,5.9705966329999995
2015-08-04,687504,8.493058356999999
2015-08-05,714863,5.844280998
2015-08-06,720717,14.472981008
2015-08-07,729151,57.961525502
2015-08-08,732586,6.271822956
2015-08-09,635544,6.637843011999999
2015-08-10,590500,6.155853571
2015-08-11,650091,24.820163999000002
2015-08-12,677751,10.221653442000001
2015-08-13,700049,5.939239742
2015-08-14,714463,6.366534047
2015-08-15,741498,6.130804148999999
2015-08-16,665770,6.5205982549999995
2015-08-17,619588,23.977251862
2015-08-18,674852,14.746429361
2015-08-19,694419,5.8670158919999995
2015-08-20,710535,5.931411891
2015-08-21,720325,31.727533239000003
2015-08-22,720261,6.183341269
2015-08-23,628618,6.624825025
2015-08-24,579937,12.864577361
2015-08-25,631063,10.661491933999999
2015-08-26,647375,10.443739098999998
2015-08-27,672135,5.98355177
2015-08-28,690479,6.068431161
2015-08-29,712120,6.125670383
2015-08-30,649723,6.484496098
2015-08-31,588561,6.105041037
2015-09-01,638630,5.840054296
2015-09-02,668454,5.896776247
2015-09-03,693245,6.2787698259999996
2015-09-04,685971,6.153504853
2015-09-05,666830,6.283288606
2015-09-06,607776,6.421509372
