pickup_datetime,Borough,passenger_count,trip_distance
2019-02-17,Unknown,47,1258.8085106382978
2019-02-18,Bronx,59331,857.9332220930037
2019-02-18,Brooklyn,162754,985.053178416506
2019-02-18,EWR,78,2456.3205128205127
2019-02-18,Manhattan,254333,996.1433003188733
2019-02-18,Queens,113520,1177.017618040874
2019-02-18,Staten Island,5322,895.7576099210823
2019-02-18,Unknown,29,969.6551724137931
2019-02-19,Bronx,65940,942.8410979678496
2019-02-19,Brooklyn,148911,1046.5533506591185
2019-02-19,EWR,77,2466.4935064935066
2019-02-19,Manhattan,277903,1178.7015865247947
2019-02-19,Queens,106821,1228.7887774875726
2019-02-19,Staten Island,6101,930.5281101458777
2019-02-19,Unknown,38,948.8157894736842
2019-02-20,Bronx,67861,898.5636079633368
2019-02-20,Brooklyn,165558,1010.1911716739753
2019-02-20,EWR,34,2460.6176470588234
2019-02-20,Manhattan,315442,1095.7002872160333
2019-02-20,Queens,105015,1104.437280388516
2019-02-20,Staten Island,6373,947.356347089283
2019-02-20,Unknown,52,1031.0961538461538
2019-02-21,Bronx,74365,968.7676998588046
2019-02-21,Brooklyn,164024,1078.918018094913
2019-02-21,EWR,59,2770.3389830508477
2019-02-21,Manhattan,310912,1235.7302805938657
2019-02-21,Queens,113326,1252.1505038561318
2019-02-21,Staten Island,7177,943.5722446704751
2019-02-21,Unknown,46,1249.608695652174
2019-02-22,Bronx,89250,986.6116862745098
2019-02-22,Brooklyn,193261,1074.5372682538123
2019-02-22,EWR,53,2712.7735849056603
2019-02-22,Manhattan,353083,1204.526111424226
2019-02-22,Queens,130202,1195.1187385754442
2019-02-22,Staten Island,8764,915.9565267001369
2019-02-22,Unknown,51,871.8823529411765
2019-02-23,Bronx,97808,943.1408575985605
2019-02-23,Brooklyn,247802,1065.5425379940436
2019-02-23,EWR,66,3723.409090909091
2019-02-23,Manhattan,389469,1133.473026094503
2019-02-23,Queens,143041,1114.6057703735294
2019-02-23,Staten Island,9221,930.5550374145971
2019-02-23,Unknown,51,1066.4705882352941
2019-02-24,Bronx,84002,879.6142591843052
2019-02-24,Brooklyn,225340,1012.41106771989
2019-02-24,EWR,87,2511.4712643678163
2019-02-24,Manhattan,324329,1054.385993851922
2019-02-24,Queens,131683,1127.0992611043187
2019-02-24,Staten Island,6878,929.6523698749636
2019-02-24,Unknown,42,1026.857142857143
2019-02-25,Bronx,79501,976.1823373290902
2019-02-25,Brooklyn,168950,1057.2878603137024
2019-02-25,EWR,63,2918.809523809524
2019-02-25,Manhattan,285927,1124.6868256582975
2019-02-25,Queens,116061,1228.712452934233
2019-02-25,Staten Island,7060,939.5917847025496
2019-02-25,Unknown,36,1075.388888888889
2019-02-26,Bronx,79613,1000.4980091191137
2019-02-26,Brooklyn,168999,1083.5507429038041
2019-02-26,EWR,50,2996.74
2019-02-26,Manhattan,309459,1180.586578512824
2019-02-26,Queens,114514,1207.5522992821839
2019-02-26,Staten Island,7088,923.9030756207675
2019-02-26,Unknown,47,1011.936170212766
2019-02-27,Bronx,84431,973.8712795063425
2019-02-27,Brooklyn,179592,1069.679378814201
2019-02-27,EWR,28,2620.1785714285716
2019-02-27,Manhattan,328765,1200.9920338235518
2019-02-27,Queens,115744,1206.714983066077
2019-02-27,Staten Island,7625,936.104262295082
2019-02-27,Unknown,28,1086.1785714285713
2019-02-28,Bronx,87099,1029.2209554644714
2019-02-28,Brooklyn,187239,1116.810920801756
2019-02-28,EWR,48,2768.4583333333335
2019-02-28,Manhattan,340502,1298.2054231693205
2019-02-28,Queens,123474,1306.9369259925165
2019-02-28,Staten Island,7965,978.1595731324545
2019-02-28,Unknown,48,1075.5416666666667
2019-03-01,Bronx,101708,1051.870226530853
2019-03-01,Brooklyn,214812,1104.9585730778542
2019-03-01,EWR,44,2473.5
2019-03-01,Manhattan,370068,1212.3905552493056
2019-03-01,Queens,141785,1270.1160066297564
2019-03-01,Staten Island,9116,946.6558797718297
2019-03-01,Unknown,58,1049.6379310344828
2019-03-02,Bronx,100911,921.587983470583
2019-03-02,Brooklyn,258633,1054.3241233717274
2019-03-02,EWR,36,2360.5555555555557
2019-03-02,Manhattan,385004,1080.0787706101755
2019-03-02,Queens,146604,1092.9685001773485
2019-03-02,Staten Island,9141,968.8782408926813
2019-03-02,Unknown,52,989.6730769230769
2019-03-03,Bronx,89768,892.3509379734427
2019-03-03,Brooklyn,233084,1023.426357021503
2019-03-03,EWR,50,2714.68
2019-03-03,Manhattan,331869,1051.088818178257
2019-03-03,Queens,131557,1160.0005776963596
2019-03-03,Staten Island,9788,1008.0789742541888
2019-03-03,Unknown,49,911.8163265306123
2019-03-04,Bronx,73231,874.8346738403135
2019-03-04,Brooklyn,157485,989.1852239895863
